filename,en,fr,de,es,ru,label,en-de,en-es,en-fr,en-ru
023fake.txt,Justin Bieber Parties At Same Grammy Event As Ex Selena Gomez & The Weeknd,Les fêtes Justin Bieber à un même événement Grammy que Ex Selena Gomez.,Justin Bieber Partys bei derselben Grammy -Veranstaltung wie Ex Selena Gomez.,Justin Bieber Fiesties en el mismo evento Grammy que ex Selena Gomez.,"Джастин Бибер вечеринки на том же мероприятии Грэмми, что и бывшая Селена Гомес.",1,0.5979688167572021,0.6467717885971069,0.6540717482566833,0.5998868346214294
018fake.txt,Will Kim Kardashian Divorce Kanye West?,Kim Kardashian divorcera-t-il Kanye West?.,Wird die Scheidung von Kim Kardashian Kanye West?.,¿El divorcio de Kim Kardashian Kanye West?.,Будет ли Ким Кардашьян развод Канье Уэст?.,1,0.9112042188644409,0.9186855554580688,0.9010940790176392,0.9121971130371094
011fake.txt,Jennifer Lopez & A-Rod Wedding On The Way? He Wants To Marry Her,Jennifer Lopez.,Jennifer Lopez.,Jennifer López.,Дженнифер Лопез.,1,0.5789409875869751,0.5730410218238831,0.5789409875869751,0.5764960050582886
019fake.txt,Kim Kardashian Reportedly Cheating With Marquette King as She Gears up for Divorce From Kanye West,Kim Kardashian aurait triché avec Marquette King alors qu'elle se prépare pour divorcer de Kanye West.,"Kim Kardashian betrügt angeblich mit Marquette King, als sie sich auf die Scheidung von Kanye West vorbereitet.","Según los informes, Kim Kardashian engaña con Marquette King mientras se prepara para el divorcio de Kanye West.","Ким Кардашьян, как сообщается, обманывает с Маркеттом Кингом, когда она готовится к разводу с Канье Уэстом.",1,0.7399681806564331,0.7308050394058228,0.7438008785247803,0.0
003fake.txt,Jennifer Aniston Pregnant With 'Miracle Baby' At 47? - Report,Jennifer Aniston enceinte de «Miracle Baby» à 47 ans? - Rapport.,Jennifer Aniston schwanger mit 'Miracle Baby' bei 47? - Bericht.,¿Jennifer Aniston embarazada de 'Miracle Baby' a los 47? - Informe.,Дженнифер Энистон беременна «чудо -ребенком» в 47? - Отчет.,1,0.5966074466705322,0.5761104226112366,0.5995948910713196,0.35589390993118286
015fake.txt,Kanye West Is Reportedly in Talks to Judge an 'American Idol' Reboot,Kanye West serait en pourparlers pour juger un redémarrage de «American Idol».,"Kanye West ist Berichten zufolge in Gesprächen, um einen Neustart von ""American Idol"" zu beurteilen.","Según los informes, Kanye West está en conversaciones para juzgar un reinicio de 'American Idol'.","Канье Уэст, как сообщается, ведет переговоры о перезагрузке «Американский кумир».",1,0.442485511302948,0.6921023726463318,0.6903344988822937,0.5905419588088989
020fake.txt,Kim Kardashian's 'Fears Will Explode' If Kanye West Runs For President: She's 'Very Nervous',«Les craintes de Kim Kardashian explosent» si Kanye West se présente à la présidence: elle est «très nerveuse».,"Kim Kardashians ""Ängste werden explodieren"", wenn Kanye West als Präsident kandidiert: Sie ist ""sehr nervös"".",Los 'temores de Kim Kardashian explotarán' si Kanye West se postula para la presidenta: está 'muy nerviosa'.,"«Страхи» Ким Кардашьян взорвется », если Канье Уэст будет баллотироваться на пост президента: она« очень нервничает ».",1,0.4549628496170044,0.7555458545684814,0.7760500907897949,0.783261239528656
026fake.txt,Anna Faris Feels Insecure Because Of Her Husband's Affair with Jennifer Lawrence! Is Chris Pratt To Blame? – Live Rumours,Anna Faris ne se sent pas en sécurité à cause de la liaison de son mari avec Jennifer Lawrence! Chris Pratt est-il responsable? - Rumeurs en direct.,Anna Faris fühlt sich aufgrund der Affäre ihres Mannes mit Jennifer Lawrence unsicher! Ist Chris Pratt schuld? - Live -Gerüchte.,¡Anna Faris se siente insegura por el asunto de su esposo con Jennifer Lawrence! ¿Chris Pratt tiene la culpa? - rumores en vivo.,Анна Фарис чувствует себя неуверенно из -за романа своего мужа с Дженнифер Лоуренс! Крис Пратт виноват? - Живые слухи.,1,0.35853254795074463,0.7333370447158813,0.727100670337677,0.0
006fake.txt,"Brad Pitt Is ""Still in Contact"" With Ex Jennifer Aniston Following Angelina Jolie Divorce (REPORT)","Brad Pitt est ""toujours en contact"" avec l'ex Jennifer Aniston après Angelina Jolie Divorce (rapport).","Brad Pitt ist ""noch in Kontakt"" mit Ex Jennifer Aniston nach Angelina Jolie Divorce (Bericht).","Brad Pitt está ""todavía en contacto"" con la ex Jennifer Aniston después de Angelina Jolie Divorce (informe).",Брэд Питт «все еще в контакте» с бывшей Дженнифер Энистон после развода Анджелины Джоли (отчет).,1,0.6876453161239624,0.7161976099014282,0.5572026371955872,0.7094584703445435
001fake.txt,JENNIFER ANISTON HINTS AT FRIENDS REUNION,Jennifer Aniston fait allusion aux retrouvailles des amis.,Jennifer Aniston weist auf die Friends Reunion hin.,Jennifer Aniston insinúa la reunión de amigos.,Дженнифер Энистон намекает на воссоединение друзей.,1,0.6441331505775452,0.6442922353744507,0.606094479560852,0.6372895240783691
025fake.txt,Did Angelina Jolie Fake Maddox Jolie Pitt's Adoption? Inside The Shocking Claims,Angelina Jolie a-t-elle simulé l'adoption de Maddox Jolie Pitt? À l'intérieur des affirmations choquantes.,Hat Angelina Jolie Maddox Jolie Pitts Adoption gefälscht? Innerhalb der schockierenden Behauptungen.,¿La adopción de Angelina Jolie Fake Maddox Jolie Pitt? Dentro de las impactantes afirmaciones.,Анджелина Джоли подделалась усыновлению Мэддокс Джоли Питта? Внутри шокирующие претензии.,1,0.675757646560669,0.6624423265457153,0.670682430267334,0.6557950377464294
017fake.txt,Kim Kardashian: Nude Cookbook on the Way?!?,Kim Kardashian: livre de cuisine nu sur le chemin?!?.,Kim Kardashian: Nacktes Kochbuch unterwegs?!?.,Kim Kardashian: ¿Libro de cocina desnudo en camino?.,Ким Кардашьян: Обнаженная кулинарная книга по дороге?!?.,1,0.7208318114280701,0.7617744207382202,0.7518926858901978,0.6869610548019409
004fake.txt,Heartbroken Jennifer Aniston Runs For The Border To Adopt,Le cœur brisé Jennifer Aniston court pour que la frontière adopte.,"Jennifer Aniston mit gebrochenem Herzen läuft an der Grenze, um zu adoptieren.",Con el corazón roto Jennifer Aniston corre para que la frontera adopte.,"Разбитая горем Дженнифер Энистон баллотируется на границу, чтобы усыновить.",1,0.7474075555801392,0.6837860345840454,0.7331001162528992,0.6916462779045105
008fake.txt,Angelina Jolie Threatens Brad Pitt: Don't Bring The Kids Around Jennifer Aniston,Angelina Jolie menace Brad Pitt: N'apportez pas les enfants autour de Jennifer Aniston.,Angelina Jolie bedroht Brad Pitt: Bringen Sie die Kinder nicht um Jennifer Aniston herum.,Angelina Jolie amenaza a Brad Pitt: No traigas a los niños a Jennifer Aniston.,Анджелина Джоли угрожает Брэду Питту: Не приводите детей вокруг Дженнифер Энистон.,1,0.6786860823631287,0.6587115526199341,0.5900132656097412,0.6747346520423889
016fake.txt,'Jealous' Kim Tries To Steal Beyonce's Baby Spotlight,`` Jealous '' Kim essaie de voler les projecteurs de bébé de Beyonce.,"'Eifersüchtig' Kim versucht, Beyonces Baby ins Rampenlicht zu stehlen.",'Celoso' Kim intenta robar el centro de atención del bebé de Beyonce.,«Ревнивая» Ким пытается украсть детское внимание Бейонсе.,1,0.0,0.6152826547622681,0.5749107599258423,0.4897536039352417
005fake.txt,Jennifer Aniston Cheated On Brad Pitt With Matt LeBlanc While Married? - Report,Jennifer Aniston a trompé Brad Pitt avec Matt LeBlanc alors qu'il était marié? - Rapport.,"Jennifer Aniston betrogen Brad Pitt mit Matt LeBlanc, während er verheiratet ist? - Bericht.",¿Jennifer Aniston engañó a Brad Pitt con Matt LeBlanc mientras estaba casado? - Informe.,Дженнифер Энистон изменяла Брэду Питту с Мэттом Лебланком во время замужнего? - Отчет.,1,0.7085195779800415,0.683972954750061,0.6896083354949951,0.6367594003677368
064fake.txt,Does Madonna Want To Send Rebellious Rocco To Military School?,Madonna veut-elle envoyer un Rocco rebelle à l'école militaire?.,Will Madonna rebellische Rocco in die Militärschule schicken?.,¿Madonna quiere enviar a Rocco rebelde a la escuela militar?.,Мадонна хочет отправить мятежный Рокко в военную школу?.,1,0.6008040904998779,0.5933513641357422,0.5998151898384094,0.5304467678070068
057fake.txt,"Cameron DiazThe Resume(August 30, 1972- )",Cameron Diazthe CV (30 août 1972-).,Cameron Diazthe Lebenslauf (30. August 1972-).,Cameron Diazthe Reano (30 de agosto de 1972-).,Кэмерон Диазт резюме (30 августа 1972-).,1,0.6823871731758118,0.6473288536071777,0.6887256503105164,0.6438663005828857
037fake.txt,BREAKING: Drake Reportedly Had A 'WEED OVERDOSE',Breaking: Drake aurait eu une `` surdose des mauvaises herbes ''.,"BREAKING: Drake hatte angeblich eine ""Unkrautüberdosis"".","Breaking: Según los informes, Drake tenía una 'sobredosis de malezas'.","Перерыв: у Дрейка, как сообщается, была «передозировка сорняков».",1,0.0,0.5211936831474304,0.34656861424446106,0.40255269408226013
049fake.txt,Billy Bush's wife is 'furious' at him after Trump interview leak,La femme de Billy Bush est `` furieuse '' après lui après la fuite interviewée par Trump.,"Billy Bushs Frau ist nach dem Trump -Interview -Leck ""wütend""..","La esposa de Billy Bush está ""furiosa"" con él después de la filtración de la entrevista de Trump.",Жена Билли Буша «в ярости» после утечки интервью Трампа.,1,0.43281498551368713,0.4485427737236023,0.5309590697288513,0.44297924637794495
027fake.txt,It's Over! Jennifer Lawrence & Darren Aronofsky's Hot Fling Cools ALREADY,C'est fini! Jennifer Lawrence.,Es ist aus! Jennifer Lawrence.,¡Se acabó! Jennifer Lawrence.,Все кончено! Дженифер Лоуренс.,1,0.6062875390052795,0.6262997388839722,0.6615129709243774,0.5977216958999634
031fake.txt,(EXCLUSIVE) Usher Cast On 'Dancing With The Stars',(Exclusif) Usher a jeté `` danser avec les étoiles ''.,(Exklusiv) Usher -Besetzung auf 'Dancing with the Stars'.,(Exclusivo) Usher elenco en 'Dancing with the Stars'.,(Эксклюзив) Ашер актер на «Танцы со звездами».,1,0.5706227421760559,0.5818578600883484,0.3308529555797577,0.42938512563705444
104fake.txt,"OJ’s Comeback Plan: “Dancing With The Stars"" - EXCLUSIVE","Plan de retour d'OJ: ""Dancing with the Stars"" - exclusif.","OJs Comeback -Plan: ""Dancing with the Stars"" - exklusiv.","Plan de regreso de OJ: ""Dancing With the Stars"" - Exclusivo.",План возвращения OJ: «Танцы со звездами» - эксклюзив.,1,0.5350737571716309,0.3883698582649231,0.4129590094089508,0.6136258244514465
105fake.txt,Wild Child! Is Angelina Jolie's Bratty Brood Putting Ailing Actress' Health At Risk?,Enfant sauvage! La Bratty Brood d'Angelina Jolie met-elle en danger la santé de l'actrice malade?.,Wildes Kind! Ist Angelina Jolies braurty Brut die Gesundheit der artler Schauspielerin gefährdet?.,"¡Niño salvaje! ¿Está en riesgo la salud de Angelina Jolie, la salud de la actriz enfermo?.","Дикий ребенок! Является ли Bratty Brood Angelina Jolie, подвергая себя риску больного здоровья актрисы?.",1,0.6841940879821777,0.6729397773742676,0.6687722206115723,0.5789745450019836
076fake.txt,Jennifer Aniston sends fiance Justin Theroux to 'commitment camp',Jennifer Aniston envoie le fiancé Justin Theroux au «camp d'engagement».,Jennifer Aniston schickt den Verlobten Justin Theroux zum 'Engagement Camp'.,Jennifer Aniston envía al prometido Justin Theroux a 'Campamento de compromiso'.,Дженнифер Энистон отправляет жениха Джастин Теру в «лагерь обязательств».,1,0.6482280492782593,0.7102529406547546,0.7960550785064697,0.7672719359397888
024legit.txt,"No, Justin Bieber didn't pee his $690 pants","Non, Justin Bieber n'a pas fait pipi son pantalon de 690 $.","Nein, Justin Bieber hat seine 690 -Dollar -Hosen nicht gepinkelt.","No, Justin Bieber no orinó sus pantalones de $ 690.","Нет, Джастин Бибер не мочил штаны за 690 долларов.",0,0.5150671005249023,0.6159176230430603,0.5982916951179504,0.5048943758010864
002legit.txt,This Is What Brad Pitt Has Been Texting Jennifer Aniston,C'est ce que Brad Pitt a envoyé des SMS à Jennifer Aniston.,Das hat Brad Pitt Jennifer Aniston geschrieben.,Esto es lo que Brad Pitt ha estado enviando mensajes de texto a Jennifer Aniston.,"Это то, что Брэд Питт написал, Дженнифер Энистон.",0,0.6889333128929138,0.6406891942024231,0.7230256795883179,0.7335493564605713
004legit.txt,Jennifer Aniston sparks adoption rumors,Jennifer Aniston suscite des rumeurs d'adoption.,Jennifer Aniston Sparks Adoptionsgerüchte.,Jennifer Aniston Sparks Rumores de adopción.,Дженнифер Энистон Спаркс Слухи о усыновлении.,0,0.8088552951812744,0.7013697028160095,0.7150397300720215,0.7351930737495422
008legit.txt,Brad Pitt is not reuniting with Jennifer Aniston; claims of Angelina Jolie threatening him debunked,Brad Pitt ne retrouve pas Jennifer Aniston; Les affirmations d'Angelina Jolie le menaçaient.,Brad Pitt vereint sich nicht mit Jennifer Aniston; Ansprüche von Angelina Jolie drohten ihn entlarvt.,Brad Pitt no se reúne con Jennifer Aniston; reclamos de Angelina Jolie amenazándolo desacreditó.,"Брэд Питт не воссоединяется с Дженнифер Энистон; утверждения о том, что Анджелина Джоли угрожает ему развенчана.",0,0.7490498423576355,0.7375706434249878,0.648522138595581,0.6932816505432129
013legit.txt,Kanye West is launching his own makeup line called Donda,Kanye West lance sa propre ligne de maquillage appelée Donda.,Kanye West startet seine eigene Make -up -Linie namens Donda.,Kanye West está lanzando su propia línea de maquillaje llamada Donda.,Канье Уэст запускает свою собственную линию макияжа под названием Donda.,0,0.7946196794509888,0.7581959366798401,0.8181076049804688,0.7493610382080078
014legit.txt,Analysis | Kanye West and how hip-hop tackles mental health,Analyse | Kanye West et comment le hip-hop aborde la santé mentale.,Analyse | Kanye West und wie Hip-Hop die psychische Gesundheit angeht.,Análisis | Kanye West y cómo el hip-hop aborda la salud mental.,Анализ | Канье Уэст и как хип-хоп справляется с психическим здоровьем.,0,0.740389347076416,0.5803115963935852,0.676201581954956,0.6301789283752441
007legit.txt,Jennifer Aniston Finally Pregnant At 48 Years Old? | Celeb Dirty Laundry,Jennifer Aniston enfin enceinte à 48 ans? | Laverie sale de célébrité.,Jennifer Aniston mit 48 Jahren schließlich schwanger? | Promi Dirty Wäsche.,¿Jennifer Aniston finalmente embarazada a los 48 años? | Celeb Dirty Laundry.,Дженнифер Энистон наконец -то беременная в 48 лет? | Знаменитость грязное прачечная.,0,0.6816601753234863,0.580765962600708,0.6570732593536377,0.0
001legit.txt,Jennifer Aniston dashes 'Friends' reunion hopes,Jennifer Aniston tire des espoirs de réunion des «amis».,"Jennifer Aniston freut sich ""Friends 'Reunion hofft.",Jennifer Aniston Dashes 'Friends' Reunion Hopes.,Дженнифер Энистон Дэшс «Друзья» надеются.,0,0.6059279441833496,0.7168802618980408,0.5975930094718933,0.6814929246902466
019legit.txt,Kim And Kanye Silence Divorce Rumors With Family Photo,Kim et Kanye Silence Divorce Rumeurs avec Photo de famille.,Kim und Kanye Schweigen Scheidungsgerüchte mit Familienfoto.,Kim y Kanye Rumores de divorcio de silencio con foto familiar.,Ким и Канье молчание слухи о разводе с семейным фото.,0,0.7495620846748352,0.7569795250892639,0.7390087246894836,0.0
016legit.txt,Kim Kardashian fails to congratulate Beyonce over twin pregnancy news while BFF Chrissy Teigen appears to mock superstar's announcement,Kim Kardashian ne parvient pas à féliciter Beyonce sur les nouvelles de la grossesse jumelle tandis que BFF Chrissy Teigen semble se moquer de l'annonce de Superstar.,"Kim Kardashian gratuliert Beyonce nicht zu Twin Pregnancy News, während BFF Chrissy Teigen den Ankündigung von Superstar zu verspotten scheint.","Kim Kardashian no felicita a Beyonce por las noticias gemelas del embarazo, mientras que BFF Chrissy Teigen parece burlarse del anuncio de superestrella.","Ким Кардашьян не может поздравить Бейонсе с новостями о беременности, в то время как BFF Крисси Тейген, по -видимому, издевается над объявлением суперзвезды.",0,0.6293929219245911,0.6293929815292358,0.0,0.34899163246154785
022legit.txt,Taylor Swift's camp denies that singer is launching her own streaming service,Le camp de Taylor Swift nie que Singer lance son propre service de streaming.,"Taylor Swifts Camp bestreitet, dass Sänger ihren eigenen Streaming -Service startet.",El campamento de Taylor Swift niega que Singer esté lanzando su propio servicio de transmisión.,"Лагерь Тейлор Свифт отрицает, что Сингер запускает свой собственный потоковой сервис.",0,0.4272029399871826,0.7966536283493042,0.815126359462738,0.7465471625328064
006legit.txt,"Jennifer Aniston: I'm Not a 'Sad, Childless Human'",Jennifer Aniston: Je ne suis pas un «humain triste et sans enfant».,"Jennifer Aniston: Ich bin kein ""trauriger, kinderloser Mensch"".","Jennifer Aniston: No soy un ""humano triste y sin hijos"".","Дженнифер Энистон: Я не «грустный, бездетный человек».",0,0.7616788744926453,0.819054126739502,0.7781890034675598,0.713502824306488
009legit.txt,Miley And Liam Fighting? False Rumors Swirl That They're In A Feud Over A Supposed Prenup,Miley et Liam se battent? Les fausses rumeurs tourbillonnent selon lesquelles ils sont dans une querelle sur un sous-marin supposé.,"Miley und Liam kämpfen? Falsche Gerüchte wirbelten, dass sie in einer Fehde über einen angeblichen Prenup sind.",¿Miley y Liam luchando? Los rumores falsos arremolinan que están en una disputa por un supuesto prenup.,"Майли и Лиам борются? Ложные слухи крутятся о том, что они в вражде по предполагаемому доступе.",0,0.788226306438446,0.7414485216140747,0.7416635155677795,0.7725070714950562
005legit.txt,Jennifer Aniston denies she had an affair with Matt LeBlanc,Jennifer Aniston nie qu'elle a eu une liaison avec Matt LeBlanc.,"Jennifer Aniston bestreitet, dass sie eine Affäre mit Matt LeBlanc hatte.",Jennifer Aniston niega que haya tenido una aventura con Matt LeBlanc.,"Дженнифер Энистон отрицает, что у нее был роман с Мэттом Лебланком.",0,0.7524310350418091,0.6697266101837158,0.6908673644065857,0.6418541669845581
020legit.txt,Kim Kardashian Says Kanye West Is 'Serious' About Running For President,Kim Kardashian dit que Kanye West est `` sérieux '' de se présenter à la présidence.,"Kim Kardashian sagt, dass Kanye West ""ernst"" ist, als Präsident zu kandidieren.","Kim Kardashian dice que Kanye West es ""serio"" sobre postularse para presidente.","Ким Кардашьян говорит, что Канье Уэст «серьезно» в том, чтобы баллотироваться на пост президента.",0,0.7767544388771057,0.8083364963531494,0.8578569889068604,0.0
017legit.txt,The World Might Get a Kim Kardashian Cookbook Soon,Le monde pourrait bientôt obtenir un livre de cuisine Kim Kardashian.,Die Welt könnte bald ein Kim Kardashian -Kochbuch bekommen.,El mundo podría obtener un libro de cocina Kim Kardashian pronto.,Мир может скоро получить поваренную книгу Ким Кардашьян.,0,0.5372315049171448,0.5150557160377502,0.5906578898429871,0.5493710041046143
021legit.txt,Jake Gyllenhaal Is Not Here for Taylor Swift Questions,Jake Gyllenhaal n'est pas là pour les questions de Taylor Swift.,Jake Gyllenhaal ist nicht für Taylor Swift -Fragen da.,Jake Gyllenhaal no está aquí para las preguntas de Taylor Swift.,Джейк Джилленхол здесь не для вопросов Тейлор Свифт.,0,0.7052688002586365,0.6324185132980347,0.7139590382575989,0.5956418514251709
015legit.txt,"Kanye West, No 'American Idol' For Me","Kanye West, pas «idole américaine» pour moi.","Kanye West, kein 'amerikanisches Idol' für mich.","Kanye West, no 'American Idol' para mí.","Канье Уэст, нет для меня «американский кумир».",0,0.7426050305366516,0.7580987811088562,0.7768721580505371,0.6698954105377197
010legit.txt,"Kristen Stewart not dropping another ""Twilight"" film, talks sexuality","Kristen Stewart ne laisse pas tomber un autre film ""Twilight"", parle de la sexualité.","Kristen Stewart lässt keinen weiteren ""Twilight"" -Film, spricht mit Sexualität.","Kristen Stewart no dejó caer otra película de ""crepúsculo"", habla de sexualidad.","Кристен Стюарт не бросает еще один фильм «Сумерки», говорит о сексуальности.",0,0.7636705636978149,0.0,0.6427302956581116,0.6668538451194763
042legit.txt,Justin Bieber's 'Purpose' show at Barclays Center lacks focus,Le spectacle «Purpose» de Justin Bieber au Barclays Center manque de focus.,Justin Biebers 'Purpose' Show im Barclays Center fehlt der Fokus.,El programa de 'propósito' de Justin Bieber en Barclays Center carece de enfoque.,Шоу Джастина Бибера «Цель» в Barclays Center не хватает фокуса.,0,0.6396943926811218,0.5661932826042175,0.6614412069320679,0.5843943953514099
088legit.txt,"Taylor Swift Cries During Selena Gomez's Heartbreaking AMA Performance, Gets Some Serious Side Eye","Taylor Swift pleure pendant la performance AMA déchirante de Selena Gomez, obtient un œil le plus sérieux.","Taylor Swift weint während der herzzerreißenden AMA -Leistung von Selena Gomez, bekommt ein ernstes Nebenauge.","Taylor Swift llora durante la desgarradora actuación de AMA de Selena Gomez, tiene un ojo lateral serio.","Тейлор Свифт плачет во время душераздирающего выступления Селены Гомеса, получает серьезный боковой глаз.",0,0.0,0.7902652621269226,0.7224214673042297,0.7167448401451111
041legit.txt,Kylie Jenner Sets the Record Straight About Reports Tyga Owes Her $2 Million,Kylie Jenner établit tout droit sur les rapports que Tyga lui doit 2 millions de dollars.,"Kylie Jenner stellt den Rekord über Berichte auf, die Tyga ihre 2 Millionen Dollar schuldet.",Kylie Jenner aclara el récord sobre informes Tyga le debe $ 2 millones.,"Кайли Дженнер устанавливает рекорд прямо о сообщениях, что Тайга обязана ей 2 миллиона долларов.",0,0.6949796080589294,0.6586642265319824,0.7284993529319763,0.6917391419410706
044legit.txt,'Au revoir for now': Kate and Wills bid a fond farewell to Paris after wowing the French during their two-day Brexit charm offensive,`` AU Revoir pour l'instant '': Kate et Wills ont fait leurs adieux à Paris après avoir épaté les Français pendant leur offensive de charme du Brexit de deux jours.,"""Au revoir fürs Erste"": Kate und Wills verabschieden sich von Paris, nachdem sie die Franzosen während ihres zweitägigen Brexit-Charmeoffensives geerdigt haben.",'Au Revoir por ahora': Kate y Wills se despidieron de París después de sorprender a los franceses durante su ofensiva Brexit de dos días.,"«Au revoir на данный момент»: Кейт и Уиллс прощаются с любовью к Парижу после того, как побудили французов во время их двухдневного наступления Brexit Charm.",0,0.7850080728530884,0.3461005389690399,0.6422920227050781,0.37679681181907654
052legit.txt,Hillary Clinton to Return to Hollywood for March 24 Fundraising Swing,Hillary Clinton pour retourner à Hollywood pour le swing de collecte de fonds du 24 mars.,"Hillary Clinton, um am 24. März nach Hollywood zurückzukehren.",Hillary Clinton regresará a Hollywood para el swing de recaudación de fondos del 24 de marzo.,"Хиллари Клинтон, чтобы вернуться в Голливуд на 24 марта.",0,0.8241738677024841,0.6452114582061768,0.8059663772583008,0.8855825662612915
